subject,subject_key,rank_display,rank_lower,rank_higher,extracted_date
Computer Science,computerScience,801–1000,801,1000,2026-04-25 23:27
Business and Economics,businessAndEconomics,801–1000,801,1000,2026-04-25 23:27
Life Sciences,lifeSciences,801–1000,801,1000,2026-04-25 23:27
Physical Sciences,physicalSciences,1001–1250,1001,1250,2026-04-25 23:27
Engineering,engineeringTechnology,1001–1250,1001,1250,2026-04-25 23:27
Social Sciences,socialSciences,801–1000,801,1000,2026-04-25 23:27
Overall,overall,1501+,1501,-1,2026-04-25 23:27
