year,release_name,total_students,female_student_pct,international_student_pct,students_per_staff,extracted_date
2020,World University Rankings 2020,32088,67.01,0.006763,10.1,2026-04-25 23:27
2021,World University Rankings 2021,31188,66.4,0.006541,9.6,2026-04-25 23:27
2022,World University Rankings 2022,28985,66.18,0.009212,9.4,2026-04-25 23:27
2023,World University Rankings 2023,28962,66.77,0.00991,9.9,2026-04-25 23:27
2024,World University Rankings 2024,29691,62.79,0.007309,10.1,2026-04-25 23:27
2025,World University Rankings 2025,31385,63.06,0.007137,9.9,2026-04-25 23:27
2026,World University Rankings 2026,32944,64.12,0.005585,10.6,2026-04-25 23:27
