Institution,Agreement Type,Partner,Date Signed,Duration,source_url,extracted_date
UCAR,Partnership Agreement,Yaouth Tunisian Impact,22/07/2024,2 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,SOS Children’s Villages,09/10/2024,3 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,ATEDIST,24/02/2025,3 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,ACCELERATOR,24/06/2025,5 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,TIME SUSTAINABILITY,19/06/2025,2 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,DRIVAGO,19/06/2025,3 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,ARSII,10/02/2026,3 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
UCAR,Partnership Agreement,The Changers,16/02/2026,2 years,https://ucar.rnu.tn/agreement/,2026-04-25 12:56
